A1,A12A,A12B,A12B1,A12B2A,A12B2B,A12B2C,A12B2C2,A12B3A,A12B3B,A12B3C,A12B3C2,A12C,A2,A3,A4,A41,B1,B11A,B11B1,B11B2,B2,B2O,B3,B4,B5,B6,B6O,B7,B8A,B8B,B8C,B8D,B8DO,B9,B10,B11,C1,C2,C21,C22A,C22B,C22C,C3,C4,C41A,C41B2,C41B3,C41B4,C41B5,C41B6,C41B7,C41B8,C42,D1,D1O,D2,D2O,D3,D3O,E11,E12,E13,E2,E221,E222,E223,E3,E4,E5,F1,F2,F3,F4,F6,F6O,F7A,F7B,F8,F81,F9,yy,cc,wi,F9_area,F5,city,cityarea
1, , , , , , , , , , , , ,1,8,1,3,2,0,2500,0,4,0,1,8,5,6,0,1,8,2,5,8,0,1,3,3,2,2,0,3,6,1,8,2,9,9,9,9,9,9,9,9,5,10,0,4,0,2,0,2,5,1,1,0,0,0,1,1,1,1,2,3,4,5,0,4,0,1,6,2,2013,124,0.8,1,14,2,1
1, , , , , , , , , , , , ,2,5,1,3,1,318,46503,7,2,0,1,6,5,2,0,3,6,5,3,4,0,0,2,1, , , , , , , , , , , , , , , , , ,3,0,1,0,3,0,1,2,5,1,0,0,0,2,1,1,2,2,4,4,5,0,0,0,1,6,2,2010,101,1.06,1,14,2,1
1, , , , , , , , , , , , ,1,7,1,3,1,421,2500,6,1,0,1,5,7,8,0,1,5,3,5,8,0,1,4,2,1,1,2, , , ,8,1,3,1,1,0,0,0,0,0,0,12,300,1,0,4,0,2,1,4,2,8,3,9,1,1,1,1,1,4,4,4,0,1,2,1,1,2,2013,205,0.8,1,12,2,1
1, , , , , , , , , , , , ,1,0,1,0,2,0,4500,0,5,0,2,8,3,5,0,1,6,1,3,7,0,3,3,2,0,1,0, , , ,0,2,9,9,9,9,9,9,9,9,0,8,0,1,0,6,0,2,1,5,1,0,0,0,3,1,3,1,1,5,4,4,0,1,0,2, ,2,2010,124,1.06,1,14,2,1
1, , , , , , , , , , , , ,2,3,1,4,2,0,4900,0,4,0,1,6,5,6,0,3,6,3,4,7,0,0,2,2, , , , , , , , , , , , , , , , , ,5,0,1,0,4,0,2,5,4,1,0,0,0,1,1,1,2,1,4,5,5,0,1,0,1,6,1,2012,150,0.8,1,0,2,1
1, , , , , , , , , , , , ,2,2,1,3,2,0,7500,0,2,0,1,4,7,8,0,3,4,5,3,6,0,0,4,2, , , , , , , , , , , , , , , , , ,11,0,1,0,8,0,0, , ,1,0,0,0,2,2,2,2,1,5,3,5,0,1,2,2, ,2,2011,149,1.06,1,0,2,1
1, , , , , , , , , , , , ,1,6,1,3,2,0,10000,0,4,0,2,8,2,5,0,1,8,1,3,6,0,1,3,2,2,1,3, , , ,1,2,9,9,9,9,9,9,9,9,5,6,0,7,0,5,0,1,2,4,1,0,0,0,1,2,2,1,2,4,5,5,0,1,0,2, ,2,2007,124,1,1,14,2,1
1, , , , , , , , , , , , ,1,4,1,3,1,418,24253,0,5,0,1,8,4,7,0,2,8,2,4,9,0,1,2,2,2,1,1, , , ,8,2,9,9,9,9,9,9,9,9,2,5,0,1,0,8,6000,6,1,3,1,0,0,0,1,1,1,1,1,3,5,3,0,1,1,2, ,2,2012,124,0.8,1,21,2,1
1, , , , , , , , , , , , ,2,5,1,3,1,28,3325,0,4,0,1,5,5,6,0,3,5,2,5,7,0,0,2,1, , , , , , , , , , , , , , , , , ,2,0,1,0,4,0,2,0, ,1,0,0,0,1,1,1,2,1,4,4,8,0,0,0,2, ,2,2013,150,0.8,1,0,2,1
1, , , , , , , , , , , , ,1,0,2,0,1,526,2500,2,1,0,1,4,3,8,0,3,4,2,3,7,0,6,2,2, , , , , , , , , , , , , , , , , ,8,0,1,0,2,0,4,2,5,2,9,8,1,1,1,2,2,1,6,4,8,0,1,2,1,4,2,2013,149,0.8,1,15,2,1
1, , , , , , , , , , , , ,2,6,1,3,1,31,4324,0,2,0,1,6,8,5,0,3,6,3,6,7,0,0,2,2, , , , , , , , , , , , , , , , , ,5,0,1,0,3,0,5,4,2,2,1,9,4,1,2,1,1,1,5,4,6,0,1,2,1,5,1,2013,149,0.8,1,0,2,1
1, , , , , , , , , , , , ,2,0,2,0,1,309,2225,2,5,0,1,4,3,4,0,3,4,1,3,6,0,0,3,1, , , , , , , , , , , , , , , , , ,3,0,1,0,1,0,2,3,1,1,0,0,0,2,1,2,2,1,4,5,7,0,0,0,1,6,2,2013,149,0.8,1,15,2,1
1, , , , , , , , , , , , ,1,6,2,0,1,327,7933,0,1,0,1,8,7,8,0,7,6,3,7,9,0,0,2,1, , , , , , , , , , , , , , , , , ,6,0,1,0,5,0,2,4,1,1,0,0,0,1,1,2,1,1,4,5,7,0,0,0,2, ,2,2013,149,0.8,1,15,2,1
1, , , , , , , , , , , , ,1,3,1,5,1,316,32023,4,3,0,1,1,8,9,70,6,1,1,6,11,100,6,4,2, , , , , , , , , , , , , , , , , ,11,0,1,0,5,0,2,0, ,1,0,0,0,1,1,1,1,1,5,6,9,7,1,2,1,1,2,2000,738,0.05,1,15,2,1
1, , , , , , , , , , , , ,1,8,1,5,1,313,15632,0,4,0,1,6,5,9,50,1,5,1,4,10,0,6,2,1,3,1,1, , , ,8,2,9,9,9,9,9,9,9,9,2,10,0,2,0,8,12000,3,0, ,2,9,0,0,1,1,3,1,1,5,6,9,8,2,2,1,1,1,2014,745,0.05,1,15,2,1
1, , , , , , , , , , , , ,1,5,2,0,1,418,64106,9,4,0,1,7,2,4,0,1,6,1,3,6,0,1,5,1,3,1,1, , , ,2,2,9,9,9,9,9,9,9,9,5,7,0,1,0,3,0,1,2,4,1,0,0,0,1,1,1,2,1,4,6,6,0,2,2,1,4,2,1998,124,1.22,1,15,2,1
1, , , , , , , , , , , , ,1,0,2,0,1,315,53121,0,4,0,1,2,2,4,0,5,1,1,3,6,0,3,4,5, , , , , , , , , , , , , , , , , ,2,0,1,0,3,0,1,4,3,1,0,0,0,1,1,2,1,1,5,5,9,10,1,2,1,1,2,1997,149,1.22,1,13,2,1
1, , , , , , , , , , , , ,1,8,1,5,1,314,1300,0,3,0,1,3,3,4,0,6,3,1,3,6,0,6,6,2, , , , , , , , , , , , , , , , , ,3,0,1,0,5,0,1,2,3,1,0,0,0,2,2,2,1,1,6,5,9,50,1,3,1,1,2,2014,1170,0.05,1,14,2,1
1, , , , , , , , , , , , ,1,7,1,4,2,0,42000,0,4,0,1,4,8,9,150,6,4,1,8,11,150,6,4,6, , , , , , , , , , , , , , , , , ,4,0,1,0,8,25000,3,1,5,2,9,8,1,3,1,1,1,1,3,6,6,0,2,2,1,1,3,2004,600,0.05,1,12,2,1
1, , , , , , , , , , , , ,1,4,1,3,2,0,10000,0,1,0,1,5,8,8,0,3,5,5,5,6,0,1,3,4, , , , , , , , , , , , , , , , , ,12,0,4,0,5,0,1,0, ,2,5,7,9,1,1,1,1,1,6,3,6,0,2,2,1,1,1,2000,125,1.22,1,13,2,1
1, , , , , , , , , , , , ,1,2,1,2,2,0,10000,0,0,0,1,1,2,2,0,5,1,1,3,4,0,6,2,1, , , , , , , , , , , , , , , , , ,1,0,1,0,1,0,2,3,4,1,0,0,0,1,1,1,1,2,4,6,3,0,1,2,1,1,2,2002,101,1.22,1,0,2,1
1, , , , , , , , , , , , ,2,1,2,0,2,0,10000,0,3,0,1,1,5,3,0,3,1,1,3,5,0,0,4,1, , , , , , , , , , , , , , , , , ,2,0,1,0,2,0,3,2,5,2,3,7,9,1,1,1,1,1,4,5,7,0,3,3,1,1,2,2003,101,1.22,1,13,2,1
1, , , , , , , , , , , , ,1,3,1,3,2,0,4500,0,4,0,0,7,2,2,0,1,7,2,3,4,0,5,2,2,2,1,1, , , ,5,2,9,9,9,9,9,9,9,9,1,5,0,2,0,4,0,2,3,5,1,0,0,0,1,1,1,1,1,4,5,5,0,2,2,2, ,4,2005,124,1,2,14,2,1
1, , , , , , , , , , , , ,1,8,2,0,2,0,4500,0,5,0,1,1,1,2,0,3,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , ,1,0,1,0,4,0,2,3,1,2,9,0,0,2,2,2,1,1,4,6,7,0,3,2,1,6,1,2005,101,1,1,14,2,1
1, , , , , , , , , , , , ,1,1,1,3,1,313,36484,4,2,0,1,8,2,2,0,5,8,2,1,4,0,3,2,1, , , , , , , , , , , , , , , , , ,4,0,1,0,5,0,2,5,6,1,0,0,0,1,1,1,1,2,7,1,3,0,1,0,1,6,2,2006,124,1,1,0,2,1
2,2.00,1.00,2.00, , , , , , , , ,5.00,1,0, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1,1,9,1,1,0,1,1,2, ,2,1991,49,1.63,1,23,2,1
1, , , , , , , , , , , , ,1,4,2, ,1,313,2700,9,5,0,2,4,3,2,0,4,3,3,3,4,0,6,3,3, , , , , , , , , , , , , , , , , ,4,0,1,0,1,0,2,4,1,2,8,2,5,1,1,1,1,2,4,5,4,0,1,1,1,4,2,1999,49,1.63,1,0,2,1
1, , , , , , , , , , , , ,1,8,1,2,2,0,4500,0,4,0,2,7,2,2,0,4,7,4,3,0,0,1,6,1, , , , , , , , , , , , , , , , , ,3,0,2,0,4,0,2,1,4,1,0,0,0,2,2,2,1,2,5,5,3,0,2,2,2, ,2,2004,50,1.63,1,22,2,1
1, , , , , , , , , , , , ,1,7,2, ,2,0,25000,0,5,0,2,4,5,5,0,5,4,2,5,5,0,6,6,3, , , , , , , , , , , , , , , , , ,6,0,1,0,3,0,1,2,4,1,0,0,0,1,3,3,1,1,9,2,1,0,3,0,1,6,2,1987,149,1.22,1,23,2,1
1, , , , , , , , , , , , ,1,2,1,5,2,0,42000,0,2,0,2,3,5,8,0,1,3,1,4,9,0,6,4,1,0,1,3, , , ,8,2,9,9,9,9,9,9,9,9,5,4,0,1,0,7,0,2,3,1,2,5,8,7,1,1,1,1,1,5,5,8,0,3,2,1,1,2,2002,582,0.05,1,14,2,1
1, , , , , , , , , , , , ,1,8,1,5,1,316,18280,0,2,0,1,1,8,2,0,6,1,1,5,2,0,6,6,4, , , , , , , , , , , , , , , , , ,12,0,1,0,1,0,2,3,4,2,8,6,9,1,1,2,1,1,5,3,5,0,1,3,1,1,2,2002,1170,0.05,1,13,2,1
1, , , , , , , , , , , , ,1,0,1,1,1,415,61111,0,2,0,1,3,1,2,0,5,3,0,2,0,0,0,5,4, , , , , , , , , , , , , , , , , ,1,0,1,0,2,0,0, , ,2,0,0,0,1,1,1,1,1,7,3,3,0,1,0,1,6,1,1993,124,1.22,1,23,2,1
1, , , , , , , , , , , , ,1,5,2, ,2,0,10000,0,3,0,1,1,5,4,0,1,1,1,5,6,0,3,3,3,2,2,0,7,7,6,8,1,1,0,1,0,0,0,0,0,0,8,0,5,0,3,0,2,3,1,2,2,3,1,1,1,1,1,1,6,6,9,0,1,2,1,6,1,2001,124,1.22,1,15,2,1
1, , , , , , , , , , , , ,1,6,2, ,1,320,10556,0,3,0,2,3,7,9,60,6,3,1,7,0,0,6,3,2, , , , , , , , , , , , , , , , , ,9,0,1,0,6,0,0, , ,1,0,0,0,2,1,2,1,1,5,4,9,0,4,3,1,1,2,2013,399,0.05,1,13,2,1
1, , , , , , , , , , , , ,1,8,1,5,1,319,4539,3,3,0,1,6,3,4,0,1,6,2,3,0,0,3,2,2,2,1,1, , , ,3,2,9,9,9,9,9,9,9,9,7,11,0,0,0,8,0,2,1,3,2,5,9,1,1,1,3,1,1,5,4,3,0,2,3,1,1,2,2013,270,0.05,1,14,2,1
1, , , , , , , , , , , , ,1,7,1,4,1,224,16810,0,3,0,1,6,5,8,0,1,6,2,5,10,0,1,4,2,0,1,0, , , ,0,2,9,9,9,9,9,9,9,9,0,11,0,4,0,7,0,0, , ,1,0,0,0,1,1,1,1,1,5,4,9,7,2,2,1,1,2,2013,399,0.05,1,12,2,1
1, , , , , , , , , , , , ,1,4,1,4,1,312,4500,4,2,0,1,5,7,6,0,1,5,5,2,5,0,6,2,1,2,1,2, , , ,1,2,9,9,9,9,9,9,9,9,5,8,0,5,0,6,0,3,2,1,1,0,0,0,1,1,1,1,1,4,3,9,0,2,0,1,1,1,2013,298,0.05,1,14,2,1
1, , , , , , , , , , , , ,1,8,1,0,1,312,1100,0,3,0,1,1,2,7,0,5,1,1,3,9,0,6,6,3, , , , , , , , , , , , , , , , , ,1,0,1,0,3,0,3,0, ,1,0,0,0,1,1,1,1,1,5,6,9,0,1,4,1,1,1,2013,298,0.05,1,13,2,1
1, , , , , , , , , , , , ,1,8,1,4,1,506,18020,0,3,0,1,6,5,7,0,1,6,1,5,9,0,6,3,1,0,1,1, , , ,5,2,9,9,9,9,9,9,9,9,1,12,300,1,0,8,6000,5,0, ,2,9,5,0,1,1,2,1,1,6,5,9,15,3,3,1,1,6,2013,399,0.05,3,0,2,1
1, , , , , , , , , , , , ,1,4,1,4,1,301,2506,7,2,0,1,6,3,8,0,1,6,2,4,9,0,6,2,2,2,1,0, , , ,6,2,9,9,9,9,9,9,9,9,2,9,0,1,0,5,0,3,2,1,1,0,0,0,1,1,1,1,1,3,3,5,0,1,0,1,1,2,2014,399,0.05,1,14,2,1
1, , , , , , , , , , , , ,1,8,1,5,2,0,10000,0,0,0,1,6,4,5,0,3,6,2,4,7,0,6,6,1, , , , , , , , , , , , , , , , , ,10,0,1,0,7,0,2,0, ,1,0,0,0,1,1,1,1,1,3,5,0,0,1,1,1,2,2,2002,147,1.22,1,13,2,1
1, , , , , , , , , , , , ,1,1,1,2,2,0,4500,0,6,0,1,8,7,9,0,1,8,4,4,10,0,6,5,2,0,1,4, , , ,1,1,3,1,1,0,0,0,0,0,0,3,0,1,0,2,0,1,2,4,2,7,8,9,1,1,3,1,2,7,1,1,0,2,0,1,4,1,1993,49,1.63,1,0,2,1
2,1.00,1.00,3.00, , , , , , , , ,5.00,1,0, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1,2,5,5,3,0,0,1,2, ,2,1994,49,1.63,1,22,2,1
1, , , , , , , , , , , , ,1,1,1,3,2,0,4500,0,1,0,1,8,2,4,0,1,8,2,3,5,0,1,3,2,0,2,0,1,6,7,2,2,9,9,9,9,9,9,9,9,5,7,0,1,0,3,0,2,5,0,1,0,0,0,1,1,3,1,2,5,3,4,0,1,0,1,6,1,1999,49,1.63,1,13,2,1
1, , , , , , , , , , , , ,1,8,1,3,1,0,19853,2,4,0,1,8,5,4,0,1,8,5,3,5,0,3,6,2,2,1,0, , , ,4,2,9,9,9,9,9,9,9,9,0,6,0,1,0,4,0,1,2,5,1,0,0,0,3,1,1,1,1,5,4,7,0,4,4,1,1,2,2005,397,0.06,1,13,2,1
1, , , , , , , , , , , , ,1,4,1,3,1,314,13395,8,3,0,1,5,5,8,0,1,5,2,5,10,0,6,2,2,2,1,1, , , ,2,2,9,9,9,9,9,9,9,9,2,9,0,2,0,4,0,2,1,4,1,0,0,0,1,1,1,2,2,6,3,4,0,3,2,1,6,1,2008,125,1,1,14,2,1
1, , , , , , , , , , , , ,1,4,1,3,2,0,10000,0,4,0,1,5,3,2,0,5,5,1,4,4,0,1,3,5, , , , , , , , , , , , , , , , , ,11,0,3,0,7,0,1,2,4,2,9,8,1,2,2,2,1,1,6,5,7,0,1,0,2, ,2,2007,101,1,1,23,2,1
1, , , , , , , , , , , , ,1,8,1,3,1,419,24758,2,3,0,1,7,6,6,0,1,7,2,5,8,0,2,4,2,2,1,1, , , ,2,2,9,9,9,9,9,9,9,9,3,7,0,1,0,5,0,2,1,4,1,0,0,0,1,2,2,2,1,3,5,5,0,3,2,2, ,1,2009,124,1.06,1,0,2,1
1, , , , , , , , , , , , ,1,5,1,3,2,0,2500,0,6,0,2,7,4,7,0,4,7,5,4,9,0,5,2,6, , , , , , , , , , , , , , , , , ,12,350,1,0,6,0,1,2,3,1,0,0,0,3,1,2,1,2,5,3,5,0,2,2,1,6,2,2014,124,0.8,1,22,2,1
1, , , , , , , , , , , , ,2,8,1,3,2,0,30000,0,3,0,1,3,5,5,0,3,3,2,4,7,0,0,3,2, , , , , , , , , , , , , , , , , ,6,0,2,0,5,0,1,2,3,1,0,0,0,3,3,3,1,1,6,6,9,0,2,5,1,6,2,2009,124,1.06,1,13,2,1
1, , , , , , , , , , , , ,1,6,1,0,1,0,2000,0,4,0,1,8,3,4,0,6,8,2,4,0,0,0,0,0, , , , , , , , , , , , , , , , , ,4,0,1,0,4,0,0, , ,1,0,0,0,3,3,3,1,1,6,4,3,0,1,0,1,0,2,2014,124,0.8,1,23,2,1
1, , , , , , , , , , , , ,1,8,1,3,2,0,7500,0,2,0,1,3,1,2,0,5,2,1,2,3,0,6,4,5, , , , , , , , , , , , , , , , , ,2,0,2,0,3,0,0, , ,2,0,0,0,2,3,2,2,1,7,3,2,0,2,2,1,6,2,2011,151,1.06,1,0,2,1
1, , , , , , , , , , , , ,1,8,1,3,2,0,10000,0,3,0,1,3,2,4,0,1,3,1,3,6,0,1,3,1,2,1,1, , , ,1,2,9,9,9,9,9,9,9,9,5,5,0,3,0,3,0,1,2,3,2,9,2,1,1,1,1,1,1,3,5,4,0,3,2,1,1,2,2007,111,1,1,14,2,1
1, , , , , , , , , , , , ,1,0,2, ,1,4,11234,8,6,0,1,7,2,4,0,1,7,2,2,6,0,6,3,1,0,2,0,1,6,1,0,2,9,9,9,9,9,9,9,9,0,7,0,2,0,6,0,2,3,1,2,9,2,3,1,1,1,1,1,4,6,5,0,2,3,1,6,2,2013,175,0.8,1,13,2,1
1, , , , , , , , , , , , ,2,8,2, ,1,319,23834,1,0,0,1,7,8,8,0,6,7,4,1,7,0,0,1,1, , , , , , , , , , , , , , , , , ,3,0,1,0,6,0,2,0, ,1,0,0,0,1,1,1,2,2,4,5,5,0,0,1,1,4,2,2006,125,1,1,15,2,1
1, , , , , , , , , , , , ,1,2,2, ,2,0,9500,0,1,0,1,1,2,3,0,1,1,1,3,5,0,6,3,2,2,1,1, , , ,6,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,2,0,2,9,0,0,2,2,2,1,2,5,4,4,0,2,0,1,6,2,2013,124,0.8,1,13,2,1
1, , , , , , , , , , , , ,1,2,1,3,2,0,10000,0,4,0,1,3,4,6,0,5,3,2,4,6,0,1,4,4, , , , , , , , , , , , , , , , , ,3,0,1,0,2,0,5,0, ,2,2,0,0,2,2,2,1,1,6,3,6,0,2,2,1,6,2,2008,101,1,1,13,2,1
1, , , , , , , , , , , , ,1,8,1,3,2,0,4500,0,2,0,1,4,2,3,0,4,4,2,3,5,0,6,6,3, , , , , , , , , , , , , , , , , ,2,0,3,0,3,0,1,2,6,2,2,3,4,1,1,1,1,1,3,5,4,0,0,1,1,6,2,1986,96,1.22,1,14,2,1
1, , , , , , , , , , , , ,2,8,1,3,1,420,7520,0,3,0,2,8,9,9,0,1,8,5,7,9,0,0,3,2,2,1,0, , , ,2,2,9,9,9,9,9,9,9,9,7,12,390,2,0,6,0,1,2,4,1,0,0,0,1,1,2,1,1,4,5,4,0,1,2,1,1,2,2014,149,0.8,1,12,2,1
1, , , , , , , , , , , , ,1,1,1,3,2,0,10000,0,2,0,1,7,5,6,0,2,7,2,4,8,0,3,2,1,3,1,0, , , ,0,1,1,1,0,0,0,0,0,0,0,5,0,1,0,1,0,2,0, ,1,0,0,0,2,2,2,1,1,4,3,4,0,3,0,2, ,2,2008,149,1,1,21,2,1
1, , , , , , , , , , , , ,2,7,1,3,1,427,5629,8,5,0,1,8,3,2,0,1,7,2,2,2,0,0,3,1,2,1,1, , , ,1,2,9,9,9,9,9,9,9,9,4,1,0,1,0,2,0,2,1,0,1,0,0,0,2,2,2,2,1,4,5,7,0,1,1,1,1,2,2011,124,1.06,1,13,2,1
1, , , , , , , , , , , , ,1,3,1,4,1,313,31403,3,4,0,2,8,8,8,0,1,8,4,5,9,0,5,3,6,2,2,0,4,6,2,1,2,9,9,9,9,9,9,9,9,5,9,0,3,0,8,10000,2,1,3,2,9,8,1,1,1,1,1,1,6,4,7,0,1,0,1,6,2,2012,171,0.8,1,15,2,1
1, , , , , , , , , , , , ,1,7,1,4,1,316,36888,8,4,0,1,8,5,8,0,1,8,2,4,9,0,6,6,1,0,1,3, , , ,3,2,9,9,9,9,9,9,9,9,5,10,0,2,0,2,0,7,1,2,1,0,0,0,1,1,1,1,1,4,5,5,0,1,2,1,1,1,2013,155,0.8,1,13,2,1
1, , , , , , , , , , , , ,1,2,1,3,1,520,52000,0,2,0,1,7,4,4,0,1,7,2,2,6,0,6,2,1,3,2,0,1,6,1,2,1,3,0,1,0,0,0,0,0,0,11,0,8,0,7,0,4,1,2,2,9,6,3,1,3,1,1,1,5,3,5,0,1,1,1,6,2,2008,249,1,1,13,2,1
1, , , , , , , , , , , , ,2,7,1,3,2,0,2500,0,6,0,1,8,7,7,0,3,6,4,4,0,0,0,2,5, , , , , , , , , , , , , , , , , ,7,0,1,0,5,0,2,1,4,1,0,0,0,3,1,3,2,1,4,5,5,0,1,0,1,4,2,2014,155,0.8,1,0,2,1
1, , , , , , , , , , , , ,1,5,1,3,2,0,2500,0,2,0,1,6,6,6,0,7,5,5,5,8,0,1,5,2, , , , , , , , , , , , , , , , , ,5,0,1,0,2,0,1,2,0,1,0,0,0,1,2,2,1,1,5,2,5,0,2,2,1,2,2,2014,124,0.8,1,14,2,1
1, , , , , , , , , , , , ,1,6,1,1,1,329,12500,0,4,0,1,8,4,6,0,1,8,2,4,7,0,6,3,1,3,1,1, , , ,6,2,9,9,9,9,9,9,9,9,5,4,0,1,0,5,0,2,1,5,1,0,0,0,3,3,3,1,1,9,1,1,0,1,2,1,6,2,2007,124,1,1,23,2,1
2,1.00,1.00,3.00, , , , , , , , ,1.00,1,0, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1,1,6,6,8,0,3,4,1,1,2,1961,500,0.05,1,14,2,1
1, , , , , , , , , , , , ,1,8,1,3,1,506,12040,0,3,0,2,7,5,5,0,1,7,2,5,6,0,6,5,1,3,1,1, , , ,6,2,9,9,9,9,9,9,9,9,4,5,0,4,0,2,0,1,2,4,1,0,0,0,1,1,2,1,2,5,4,4,0,2,2,1,1,1,2013,124,0.8,1,13,2,1
1, , , , , , , , , , , , ,1,7,1,3,1,318,2595,0,6,0,1,8,7,0,0,3,5,2,5,0,0,1,2,2, , , , , , , , , , , , , , , , , ,11,0,2,0,1,0,4,2,3,1,0,0,0,2,1,1,1,2,6,5,3,0,4,2,1,6,1,2014,124,0.8,1,14,2,1
1, , , , , , , , , , , , ,2,2,1,3,2,0,2500,0,3,0,1,6,9,9,0,1,6,2,5,9,0,0,2,2,2,1,3, , , ,5,2,9,9,9,9,9,9,9,9,7,11,0,3,0,4,0,1,2,3,1,0,0,0,1,3,3,2,1,3,4,3,0,3,2,1,4,2,2006,125,1,1,0,2,1
1, , , , , , , , , , , , ,1,8,1,5,1,315,4728,3,1,0,1,1,6,8,0,6,1,3,5,10,0,6,3,2, , , , , , , , , , , , , , , , , ,10,0,3,0,7,0,2,3,1,2,9,1,2,1,1,1,1,1,5,6,9,9,3,5,1,6,2,2013,638,0.05,1,12,2,1
1, , , , , , , , , , , , ,1,1,1,3,2,0,25000,0,4,0,1,5,4,6,0,5,5,1,4,8,0,1,3,3, , , , , , , , , , , , , , , , , ,6,0,2,0,5,0,2,0, ,1,0,0,0,1,1,1,1,1,4,4,5,0,2,0,1,6,2,1992,124,1.22,1,12,2,1
